Culture,CD44,p16,p21,p38,SABG
Control,10.919,38.994,2.197,13.048,20.583
Control,18.228,34.153,2.145,13.089,20.689
Control,12.657,33.693,2.625,12.566,20.932
Control,12.893,34.33,2.079,14.721,20.982
Control,12.688,38.876,2.182,12.936,20.844
Control,11.838,38.695,2.317,14.03,20.72
Control,11.413,42.094,2.4,11.582,20.813
Control,13.27,40.839,2.225,12.087,20.896
Control,14.632,41.436,2.615,13.905,20.823
Control,12.25,32.841,2.489,13.261,20.885
Control,16.069,35.448,2.151,12.768,20.701
Control,14.773,41.503,2.141,11.968,20.673
Control,11.356,38.062,2.066,13.129,20.564
Control,14.077,41.754,2.415,12.862,20.999
Control,11.515,32.903,2.302,12.479,20.796
Control,14.339,35.34,2.021,12.063,20.774
Control,14.378,35.454,2.319,11.95,20.688
Control,16.555,40.611,2.242,11.589,21.127
Control,13.278,43.253,1.995,14.127,20.884
Control,12.094,42.098,2.204,12.838,21.094
Control,11.572,37.387,2.368,14.186,20.727
Control,11.465,36.488,1.986,14.417,21.053
Control,13.168,41.319,2.031,12.714,20.749
Control,11.672,36.566,2.28,12.178,20.613
Control,15.594,43.105,2.273,13.766,20.771
Control,13.501,39.715,2.014,12.443,20.824
Control,14.389,34.139,1.932,13.208,20.903
Control,13.237,38.368,2.057,14.78,20.679
Control,18.273,39.865,2.113,13.941,20.728
Control,12.413,36.213,2.385,12.324,20.651
