Culture,CD44,p16,p21,p38,SABG,Standardized_Circ,Standardized_AR,Standardized_Round,Standardized_Cell_area,Standardized_Nucleus_Area,Standardized_Nucleus_Circ,Standardized_Nucleus_AR,Standardized_Nucleus_Round
Control,10.919,38.994,2.197,13.048,20.583,-0.932093868,0.985071442,-0.975040765,1.226816761,3.910912761,0.591346224,-0.125394898,-0.03889745
Control,18.228,34.153,2.145,13.089,20.689,0.080754094,0.985850709,-0.975040765,-1.110328775,0.051908934,0.1760966,0.958077632,-0.932323254
Control,12.657,33.693,2.625,12.566,20.932,2.202259961,-0.764772655,0.608674609,0.241803401,0.588314704,0.337582565,-1.599069073,1.884703006
Control,12.893,34.33,2.079,14.721,20.982,0.135502633,-0.942055902,1.075870644,-0.29243886,-0.161601524,0.475999106,-1.322518392,1.428873514
Control,12.688,38.876,2.182,12.936,20.844,0.833546499,-0.915950457,0.996684875,1.084622636,-0.02100169,-0.308361295,-0.519384909,0.371349093
Control,11.838,38.695,2.317,14.03,20.72,0.505055268,-0.277341133,-0.167345925,-0.028918736,-0.98964979,0.129957753,-0.03068576,-0.130063348
Control,11.413,42.094,2.4,11.582,20.813,2.667622538,-1.336754648,3.118863476,-1.21632769,-0.906334173,-2.384609415,1.378586201,-1.205820949
Control,13.27,40.839,2.225,12.087,20.896,-0.028742983,0.422440652,-0.721646305,-1.078935354,0.156072374,-0.100736483,-0.170855284,0.006685499
Control,14.632,41.436,2.615,13.905,20.823,0.95673071,0.286458557,-0.642460537,-0.350054957,-0.390776226,1.006595848,-0.18222038,0.024918679
Control,12.25,32.841,2.489,13.261,20.885,1.339970479,-0.600347313,0.284012957,-0.22300411,0.385209239,0.49906853,0.332997327,-0.449143993
Control,16.069,35.448,2.151,12.768,20.701,-0.973155272,-0.867246268,0.862069068,1.990967966,1.109094065,0.083818906,0.261018382,-0.394444454
Control,14.773,41.503,2.141,11.968,20.673,1.271534806,-0.445273176,0.038537074,0.132848816,-0.724076531,-0.354500142,1.0603635,-1.005255973
Control,11.356,38.062,2.066,13.129,20.564,-1.424830714,-0.802177472,0.695778954,1.096626437,0.098788157,1.306498354,-1.144465214,1.164492409
Control,14.077,41.754,2.415,12.862,20.999,0.354496787,0.2346373,-0.602867652,-1.015040304,-1.500024159,-0.008458789,0.189039438,-0.330628325
Control,11.515,32.903,2.302,12.479,20.796,-1.192149426,2.194493858,-1.283865263,-1.328789365,-0.802170733,-0.53905553,1.079305328,-1.014372563
Control,14.339,35.34,2.021,12.063,20.774,-0.67203831,2.111501921,-1.268028109,-1.326389142,-1.005276198,-2.476887109,2.477212193,-1.807515879
Control,14.378,35.454,2.319,11.95,20.688,-0.083491521,-0.599568046,0.284012957,-0.692426919,-0.140791538,-1.231138237,1.064151866,-1.005255973
Control,16.555,40.611,2.242,11.589,21.127,-0.863658195,2.010976475,-1.244272379,-1.030552537,-0.432434034,-0.562124954,0.859580129,-0.859390535
Control,13.278,43.253,1.995,14.127,20.884,0.272373979,-1.082713599,1.59057814,-1.217434557,-0.203297169,0.037680058,0.32163223,-0.440027403
Control,12.094,42.098,2.204,12.838,21.094,-0.973155272,1.313532491,-1.077982264,-0.034458435,-0.630318084,0.291443718,-0.454982695,0.307532964
Control,11.572,37.387,2.368,14.186,20.727,-1.02790381,-0.551643124,0.204827188,0.791741701,0.682035314,0.822040459,-1.398285702,1.547389182
Control,11.465,36.488,1.986,14.417,21.053,0.436619594,-0.359553804,-0.072323002,1.183973643,0.468524856,2.160067026,-1.068697904,1.055093331
Control,13.168,41.319,2.031,12.714,20.749,-0.644664041,-0.082524378,-0.365310346,0.068584811,0.551840473,-1.369554778,0.041293184,-0.193879477
Control,11.672,36.566,2.28,12.178,20.613,-1.246897964,1.102740762,-1.014633649,-0.026518512,-0.599065268,-0.562124954,-0.693649721,0.581030659
Control,15.594,43.105,2.273,13.766,20.771,0.026005556,-0.883221242,0.901661953,-0.900916317,-0.474091843,0.868179307,-1.868043023,2.376998857
Control,13.501,39.715,2.014,12.443,20.824,0.162876902,0.445818663,-0.729564882,0.037561687,-0.448060442,0.752832189,0.094330301,-0.248579016
Control,14.389,34.139,1.932,13.208,20.903,-0.49410556,0.332824945,-0.666216267,0.762009251,-0.807392148,0.914318154,0.113272128,-0.257695606
Control,13.237,38.368,2.057,14.78,20.679,-0.083491521,-0.739056843,0.553244571,2.26002779,0.749762359,0.614415647,-0.973988767,0.936577663
Control,18.273,39.865,2.113,13.941,20.728,-0.767848252,-0.4246226,0.014781343,0.091115249,0.10919315,-0.954305154,1.151284272,-1.059955512
Control,12.413,36.213,2.385,12.324,20.651,0.162876902,-0.751525115,0.577000301,0.90383442,1.374705161,-0.216083601,0.170097611,-0.312395145
