Culture,CD44,p16,p21,p38,SABG
Dox,13.093,50.223,2.075,33.57,22.317
Dox,14.819,52.013,6.323,35.04,21.258
Dox,12.502,48.133,4.422,33.427,21.495
Dox,16.721,53.619,5.075,37.328,22.35
Dox,17.285,49.929,5.392,37.92,23.257
Dox,19.706,50.701,5.393,36.341,22.27
Dox,14.224,46.598,4.154,36.146,22.442
Dox,17.838,52.593,4.358,37.807,22.174
Dox,15.599,48.377,3.157,36.14,22.185
Dox,12.891,46.159,3.52,33.08,21.8
Dox,15.504,52.723,4.323,37.004,21.427
Dox,15.569,52.429,5.005,35.945,22.132
Dox,17.721,54.486,8.577,33.978,21.678
Dox,15.03,46.573,3.725,35.187,21.666
Dox,13.919,54.455,3.799,35.769,20.992
Dox,14.893,44.442,5.25,37.479,21.378
Dox,28.56,55.299,3.331,33.576,21.078
Dox,18.427,54.046,6.345,37.084,21.301
Dox,14.947,53.695,4.689,36.89,21.231
Dox,20.812,54.437,4.688,35.023,21.655
Dox,15.346,52.3,5.858,35.418,20.925
Dox,14.008,53.425,5.188,36.118,21.96
Dox,26.747,47.024,4.55,37.08,22.077
Dox,15.631,47.946,5.107,33.568,22.089
Dox,15.431,48.977,5.361,37.35,22.928
Dox,18.392,46.011,5.728,38.403,23.024
Dox,14.572,53.872,7.356,33.622,20.408
Dox,14.237,45.283,4.601,38.974,22.388
Dox,17.75,51.297,11.015,36.603,22.087
Dox,16.676,50.937,4.641,37.326,21.172
