Culture,SABG,CD44
Control,17.384,23.094
Control,17.275,20.02
Control,17.125,20.708
Control,17.245,19.139
Control,17.079,18.58
Control,17.046,17.011
Control,17.156,18.488
Control,17.43,18.459
Control,17.295,17.641
Control,17.169,17.458
Control,17.051,18.401
Control,17.209,20.874
Control,17.115,22.822
Control,17.528,20.415
Control,17.108,22.655
Control,17.186,20.141
Control,17.198,20.023
Control,17.164,18.418
Control,17.173,18.542
Control,17.127,21.022
Control,17.524,17.706
Control,17.15,19.257
Control,17.104,18.63
Control,17.331,20.78
Control,17.135,20.635
Control,17.391,19.811
Control,17.15,20.827
Control,17.167,19.849
Control,17.222,21.808
Control,17.251,19.155
