Culture,SABG,CD44
Irrad,22.155,21.292
Irrad,23.037,24.136
Irrad,24.898,28.648
Irrad,22.078,28.781
Irrad,22.755,22.009
Irrad,22.438,20.849
Irrad,21.187,25.629
Irrad,21.87,20.705
Irrad,21.641,36.774
Irrad,22.328,24.589
Irrad,21.523,19.603
Irrad,22.195,22.559
Irrad,20.857,20.285
Irrad,22.1,23.874
Irrad,20.868,21.502
Irrad,22.246,23.161
Irrad,21.489,20.422
Irrad,22.913,19.851
Irrad,20.581,23.37
Irrad,21.251,26.126
Irrad,21.228,25.485
Irrad,21.195,18.657
Irrad,20.265,24.119
Irrad,21.571,20.4
Irrad,21.398,22.114
Irrad,21.417,31.439
Irrad,23.024,25.139
Irrad,22.389,22.398
Irrad,21.626,18.739
Irrad,21.346,20.388
