Culture,CD105,CCND2,p16,p21,p38,SABG
P2_FBS,25.475,45.585,7.542,8.465,16.667,60.995
P2_FBS,25.07,44.558,7.61,8.971,16.971,58.323
P2_FBS,25.991,45.228,8.31,9.261,17.119,60.518
P2_FBS,27.297,45.6,7.617,8.572,16.746,61.552
P2_FBS,25.937,45.209,7.426,8.82,17.198,60.514
P2_FBS,25.551,45.364,7.642,8.453,16.759,59.569
P2_FBS,26.277,45.064,7.398,8.891,16.99,60.453
P2_FBS,26.744,43.947,7.485,9.285,16.58,61.161
P2_FBS,25.358,45.045,6.948,8.051,16.585,59.64
P2_FBS,23.625,44.606,6.941,7.984,16.505,56.501
P2_FBS,23.875,44.63,7.404,8.136,16.857,56.762
P2_FBS,25.709,45.734,7.641,8.248,16.824,61.561
P2_FBS,24.017,44.298,7.301,7.942,17.295,56.595
P2_FBS,25.977,45.295,8.569,8.193,16.738,60.188
P2_FBS,26.204,45.829,7.98,8.786,17.568,59.764
P2_FBS,26.805,44.258,7.376,8.574,16.306,61.583
P2_FBS,26.611,43.945,8.073,9.979,16.646,60.955
P2_FBS,26.125,43.589,7.906,9.377,16.896,60.66
P2_FBS,26.013,45.388,8.188,8.262,17.309,58.908
P2_FBS,27.022,46.169,9.409,10.345,17.503,61.641
P2_FBS,24.607,44.516,7.393,8.559,16.449,56.265
P2_FBS,26.435,44.335,7.452,8.204,16.882,61.239
P2_FBS,24.602,45.345,7.634,9.053,17.222,58.252
P2_FBS,25.847,45.256,7.156,8.376,16.652,58.75
P2_FBS,25.393,45.309,8.248,8.701,17.112,60.004
P2_FBS,23.573,44.807,7.003,7.319,16.318,56.323
P2_FBS,24.852,44.753,8.058,8.837,16.994,59.243
P2_FBS,26.046,46.229,8.391,8.368,16.782,62.063
P2_FBS,24.711,44.129,8.342,8.709,16.39,59.534
P2_FBS,24.684,43.806,7.757,9.104,16.75,59.104
