Culture,CD105,CCND2,p16,p21,p38,SABG
P2_Stemfit,28.027,49.39,8.616,9.492,17.79,60.033
P2_Stemfit,28.93,50.888,10.092,10.394,20.124,59.09
P2_Stemfit,25.951,46.991,7.932,7.929,17.116,55.529
P2_Stemfit,27.964,49.978,9.217,9.731,17.909,59.91
P2_Stemfit,28.602,50.211,8.763,9.501,17.868,61.602
P2_Stemfit,28.135,50.009,9.084,9.273,17.918,60.33
P2_Stemfit,27.559,49.096,10.077,9.139,18.627,58.492
P2_Stemfit,27.703,47.947,8.961,10.158,17.078,59.676
P2_Stemfit,29.374,50.107,9.426,9.273,19.746,63.051
P2_Stemfit,28.238,48.429,9.397,9.142,17.95,60.072
P2_Stemfit,28.71,50.565,8.887,9.372,19.525,60.52
P2_Stemfit,28.372,49.771,8.228,8.856,17.25,61.845
P2_Stemfit,28.05,49.149,10.264,10.356,18.51,59.701
P2_Stemfit,28.492,51.014,8.387,8.918,18.003,61.575
P2_Stemfit,28.872,50.511,9.29,9.727,18.241,61.523
P2_Stemfit,28.964,49.768,9.55,9.006,20.556,61.176
P2_Stemfit,28.025,49.489,10.95,9.511,21.734,59.435
P2_Stemfit,27.853,49.444,8.456,9.337,18.825,59.578
P2_Stemfit,29.143,51.702,9.492,10.647,21.36,62.23
P2_Stemfit,29.416,51.129,11.089,10.531,19.973,61.969
P2_Stemfit,27.979,48.673,9.492,10.098,18.047,60.301
P2_Stemfit,26.803,48.869,8.287,8.501,18.99,57.938
P2_Stemfit,28.736,51.075,9.241,9.87,18.985,61.419
P2_Stemfit,26.178,47.486,7.962,7.633,17.911,55.962
P2_Stemfit,26.165,47.188,11.108,7.987,18.077,55.883
P2_Stemfit,27.801,49.75,8.611,9.203,19.206,61.172
P2_Stemfit,28.836,51.16,8.773,8.502,19.035,61.272
P2_Stemfit,27.73,49.502,8.932,8.895,18.098,58.723
P2_Stemfit,25.94,47.286,8.69,8.652,17.699,55.78
P2_Stemfit,27.649,47.194,8.499,8.989,17.052,58.77
